document_id,snippet_id,snippet,group_folder,code_lev0,code_lev1,code_lev2
"Saving species, time and money~ Application of unmanned aerial vehicles (UAVs) for monitoring of an endangered alpine river specialist in a small nature reserve",Reference 1,"off-the-shelf UAV allowed frequent aerial surveys of the difficult-toaccess study area and could be deployed on short notice (e.g. hours after a flood event). One survey covering the ~10 ha area lasted<30 min, and required 2–3 flights with fresh batteries. Each survey yielded high-resolution image data, and the necessary parameters (Fig. A6) for the evaluation of the dynamic processes of the Friedergries ecosystem could be derived without sophisticated analysis or extensive field work (Hemmelder et al. 2018).",Drone studies,VALUE,"DURA (Duration of collection, processing, and analysis)",DURA - Positive sentiment
Unmanned Aircraft System Photogrammetry for Mapping Diverse Vegetation Species in a Heterogeneous Coastal Wetland,Reference 1,"Our study demonstrates that UAS photogrammetry is a powerful tool for vegetation species mapping in coastal wetland environments. The overall advantage of this tool is that it provides wetland managers a more efficient means to track restoration progress compared to traditional field surveys, which are labor-intensive and difficult in these ecosystems (Gallant 2015). In order to implement this procedure, an initial field survey is required to train and test the classification model then repeated UAS surveys can be conducted to track species cover over time. The UAS used in this study was a consumer-grade instrument that was low-cost, easy to operate, and small for easy transport to the field. The UAS surveys over the 7-acre study area took less than 1 hour to complete compared to the field survey which required five days of work.",Drone studies,VALUE,"DURA (Duration of collection, processing, and analysis)",DURA - Positive sentiment
Using lightweight unmanned aerial vehicles to monitor tropical forest recovery,Reference 1,"Ecosynth methods have the potential to reduce ﬁeld time and thereby expand the scope of projects otherwise restricted by the logistics of more traditional ﬁeld-based surveys. Once the overall workﬂow has been established, data on canopy structure at the scale of 10’s of hectares can be turned around in as little as a day.",Drone studies,VALUE,"DURA (Duration of collection, processing, and analysis)",DURA - Positive sentiment
Using Uncrewed Aerial Vehicles for Identifying the Extent of Invasive Phragmites australis in Treatment Areas Enrolled in an Adaptive Management Program,Reference 1,"The technology is at a price point for practical adoption, can be deployed rapidly, and can produce data that can help the manager make a decision about management without extensive processing time required by other remote sensing techniques, such as airborne or satellite data collection. UAVs can make it easier to get sufﬁciently accurate presence and extent information for areas that may be difﬁcult to get to, including areas that may need monitoring of post-treatment response. This technology has been demonstrated to be a useful tool that ﬁlls the gap between ﬁeld data collection and large investments in ﬁxed-wing or satellite platforms. This makes the results even more useful to managers whether they are federal professionals or landowners with varying levels of experience.",Drone studies,VALUE,"DURA (Duration of collection, processing, and analysis)",DURA - Positive sentiment
Monitoring Geomorphic and Traditional Post-Mine Reclamation using Digital Imagery~ Vegetative Heterogeneity and Sampling Efficiency,Reference 1,"SamplePoint analysis, however, was time consuming and did not greatly improve the rate of data acquisition relative to LPI methods.",d studies,VALUE,"DURA (Duration of collection, processing, and analysis)",DURA - Positive sentiment
Multiscale Invasive Plant Monitoring~ Experiences from the Greater Everglades Restoration Area,Reference 1,"The Everglades CISMA monitoring program is providing naturalresource managers within the Greater Everglades ecosystem with several monitoring and mapping products aimed at achieving affordable solutions to multiple objectives at different temporal and spatial scales. Utilizing DASM technology along with trained observers can provide reasonably accurate spatial data with rapid turnaround, even when weed densities are low (Petty et al. 2012; Rodgers et al. 2014; Schrader-Patton 2003). We have adapted DASM methods for landscape-scale inventories, small-scale statistically designed monitoring to assess patch dynamics and temporal trends among the different regions within the landscape, and detailed mapping to support treatment activities of individual managers. Together, these three approaches for monitoring exotic plants work in combination to reduce management costs. Lowand-slow grid and outlier monitoring provides the most precise possible guidance to contractors and supports determinations of treatment effectiveness. GRTS panel monitoring helps to detect change and learn about localized causes of invasions. SRF flights provide an objective basis for recognizing and communicating the scope of the challenge and the landscape scale.",d studies,VALUE,"DURA (Duration of collection, processing, and analysis)",DURA - Positive sentiment
Spatially balanced sampling and ground-level imagery for vegetation monitoring on reclaimed well pads,Reference 1,"Traditional LPI methods have been timed to take a two-person team 99 minutes/site (Cagney et al. 2011). The method proposed in this study allows one individual to capture equivalent field data in roughly one-fifth that time, suggesting a 10-fold increase in field data collection efficiency. Even factoring in image analysis time, the photo-monitoring method took less time than required for LPI field data collection in Cagney et al.’s (2011) study.",d studies,VALUE,"DURA (Duration of collection, processing, and analysis)",DURA - Positive sentiment
Using a vegetation index to assess wetland condition in the Prairie Pothole Region of North America,Reference 1,"Wetland condition assessments can provide relevant and timely FIGURE 4 Percent of sampled (2020–2021) wetlands within 48 native prairie and 152 reseeded grasslands assigned to each Index of Plant Community Integrity condition category. Data represent 59 temporarily ponded and 141 seasonally ponded potholes in the United States portion of the Prairie Pothole Region of North America. data to wetland managers and conservation organizations that can be used to inform policy development, guide the allocation of resources, frame the problem of invasive and non-native plants, determine if management and restoration objectives are met, and support overall conservation efforts such as land procurement and habitat improvement",d studies,VALUE,"DURA (Duration of collection, processing, and analysis)",DURA - Positive sentiment
Monitoring ecological characteristics of a tallgrass prairie using an unmanned aerial vehicle,Reference 1,"Plant cover by functional groups (i.e. C3 grasses, C4 graminoids, N-ﬁxing forbs, non-N-ﬁxing forbs, all forbs), Shannon diversity, richness, and a percent graminoid:forb ratio were calculated for each quadrat.",Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Abiotic data (for example soil data, local surface and micro topography)"
The colors of heath flowering - quantifying spatial patterns of phenology in Calluna life-cycle phases using high-resolution drone imagery,Reference 1,"In total, 67 individual Calluna plants and 30 background classes (soil, litter, bryophytes, lichens, grass) were mapped in the ﬁeld",Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Abiotic data (for example soil data, local surface and micro topography)"
Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Reference 1,Number of soil water content samples,Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Abiotic data (for example soil data, local surface and micro topography)"
Using Unmanned Aerial Vehicles to assess the rehabilitation performance of open cut coal mines,Reference 1,"The BioCondition assessments collected multiple vegetation attributes (including basal area, stem density and cover attributes recorded for woody species) using a 200 m2 plot in August-September 2015. Curragh rehabilitation was assessed in the field within a month of each UAV image collection within 400 m2 plots (using a transect of 50 m) for foliage projective cover of vegetation in three strata (canopy, understorey and ground layer) and soil surface cover along the transect (McKenna and Glenn, 2016). As the Ivanhoe North site had sparse vegetation cover (see Figure 2a), field data collection, which was carried out at the time of the UAV data collection, focused on locating woody debris and tree planting as well as the depth and width of selected gully erosion.",Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Abiotic data (for example soil data, local surface and micro topography)"
Can functional leaf traits be used for monitoring wetland restoration~ A comparison between commonly used monitoring metrics and functional leaf traits,Reference 1,"Wells were designed to monitor both groundwater and surface water levels. Data were collected using electronic water-level data loggers set at either hourly or daily intervals. These wells were removed after 5–10 years of hydrological monitoring was completed. During 2015, sampling points were established in each wetland at prior locations of monitoring wells. Sampling points were determined by the location of the wells, with 2–4, but most commonly 3, sampling points at each site",d studies,GENERAL,FIELD (Field sampling data),"FIELD - Abiotic data (for example soil data, local surface and micro topography)"
Comparison of visual estimation and line-point intercept vegetation survey methods on annual grass-invaded rangelands of Wyoming,Reference 1,"Within the three quadrats, we clipped and bagged all current-year aboveground herbaceous biomass for B. tectorum and native perennial graminoids. Biomass samples were dried in a forced-air oven at 60 C for 72 h, weighed to the nearest milligram, and pooled by plot. Within each site, 15 soil cores (20 cm) were collected and sent to the laboratory (www.wardlab.com) to measure soil pH, electroconductivity (EC), total organic matter (OM), nitrate-nitrogen (NO3-N), P, and K. Soil pH and EC were quantified using a 1:1 soil–water solution, while soil OM was estimated by loss-on-ignition. NO3-N was determined using a flow-injection analyzer. K (ammonium acetate) and P (Mehlich-3) were assessed using the inductively coupled plasma-optical emission spectrometry method.",d studies,GENERAL,FIELD (Field sampling data),"FIELD - Abiotic data (for example soil data, local surface and micro topography)"
Monitoring ecological recovery of reclaimed wellsites~ Protocols for quantifying recovery on forested lands,Reference 1,Description of protocol,d studies,GENERAL,FIELD (Field sampling data),"FIELD - Abiotic data (for example soil data, local surface and micro topography)"
Recovery of vegetation on former alpine roads~ how long does it take~,Reference 1,"Excluding bryophytes and lichens from the species composition and richness indicators was, however, a pragmatic decision: determining bryophytes and lichens to the species level – particularly shortly after the restoration treatment – is time consuming and requires specific competence, and thus would increase costs of monitoring substantially.",d studies,GENERAL,FIELD (Field sampling data),"FIELD - Abiotic data (for example soil data, local surface and micro topography)"
Threshold dynamics in plant succession after tree planting in agricultural riparian zones,Reference 1,"In an innovative adaptation, species scores along the PRC axis were averaged for meaningful ecological groups, to bring further mechanistic insights into successional patterns. Such an understanding can be taken a step further when environmental variables are monitored simultaneously with plant communities. By comparing the temporal dynamics of environmental variables with species turnover, it is possible to easily discriminate the primary drivers of plant succession, as shown here for light availability. Restoration researchers and practitioners are thus encouraged to collect both species and environmental data in restored and reference habitats over time, in order to perform time-series analyses",d studies,GENERAL,FIELD (Field sampling data),"FIELD - Abiotic data (for example soil data, local surface and micro topography)"
Using turf transplants to reintroduce native forest understory plants into smelter-disturbed forests,Reference 1,Methods,d studies,GENERAL,FIELD (Field sampling data),"FIELD - Abiotic data (for example soil data, local surface and micro topography)"
3D-CNN based UAV hyperspectral imagery for grassland degradation indicator ground object classification research,Reference 1,"Several widely used datasets have extracted partially pure pixels of features for labeling, based on which the pure pixels of grassland degradation indicating ground objects in the collected hyperspectral images are classified into five categories of ground truth, with a total of 637,542 pixels; the mixed pixels are labeled as black background, and a total of 362,458 pure pixels are displayed in Fig. 3 and listed in Table 2.",Drone studies,GENERAL,FIELD (Field sampling data),FIELD - Assessments from plane or aerial imagery (incl. drone orthos)
A robust object-based woody cover extraction technique for monitoring mine site revegetation at scale in the monsoonal tropics using multispectral RPAS imagery from different sensors,Reference 1,"The assessment was based upon methods for manually extracting woody cover from high resolution aerial photography (Fensham et al., 2002; Staben et al., 2016).",Drone studies,GENERAL,FIELD (Field sampling data),FIELD - Assessments from plane or aerial imagery (incl. drone orthos)
Assessing the status of forest regeneration using digital aerial photogrammetry and unmanned aerial systems,Reference 1,Table 1. Total number of samples for each class within each classiﬁcation along with mean and standard deviations within and among classiﬁcations for the Nakusp Site.,Drone studies,GENERAL,FIELD (Field sampling data),FIELD - Assessments from plane or aerial imagery (incl. drone orthos)
Comparison of RGB and Multispectral Unmanned Aerial Vehicle for Monitoring Vegetation Coverage Changes on a Landslide Area,Reference 1,"The reference dataset was composed of samples taken on the ﬁeld and samples selected from a visual interpretation of the ortho-mosaic, totalizing 90 samples.",Drone studies,GENERAL,FIELD (Field sampling data),FIELD - Assessments from plane or aerial imagery (incl. drone orthos)
Development of an Automated Monitoring Platform for Invasive Plants in a Rare Great Lakes Ecosystem Using Uncrewed Aerial Systems and Convolutional Neural Networks,Reference 1,"Ground surveys were conducted by ecologists within the defined monitoring area for the target invasive plant species. Locations of target invasive plant species and additional plant species of interest (i.e., additional invasive species, rare species, indicator species, and confusors) were marked with high-precision handheld GPS. Garmin Monterra units were used throughout the course of this project. In addition, we used color-coded flagging to mark a sampling of invasive plant species within each site (Figure 2). Both the GPS waypoints and color-coded flagging were used to facilitate later identification of invasive species on high-resolution imagery. In addition, the ground campaign provided critical information about where to focus UAS monitoring efforts within the sites.",Drone studies,GENERAL,FIELD (Field sampling data),FIELD - Assessments from plane or aerial imagery (incl. drone orthos)
Forest restoration monitoring through digital processing of high resolution images,Reference 1,"Fifty representative samples of each class (canopy cover, bare soil and grass cover, shadow) were selected over UAV camera images.",Drone studies,GENERAL,FIELD (Field sampling data),FIELD - Assessments from plane or aerial imagery (incl. drone orthos)
Monitoring opencast mine restorations using Unmanned Aerial System (UAS) imagery,Reference 1,"A total of 60,402 pixels were used as Training Areas for the digital classiﬁcation process, which were selected by photointerpretation on delimited plots visible in the drone image.",Drone studies,GENERAL,FIELD (Field sampling data),FIELD - Assessments from plane or aerial imagery (incl. drone orthos)
Multisensor data to derive peatland vegetation communities using a fixed-wing unmanned aerial vehicle,Reference 1,"To prepare the classiﬁcation, a training dataset was created containing 11 classes for PWand 10 classes for CDCW (Table 1). The classes represent the widespread plant communities of the sites all characterized by dominant species as well as each one class for open water and one for bare soil. For example, in the class Festuca one ﬁnds besides the dominant species Festuca rubra also other typical plants like Lolium perenne, Holcus lanatus or Trifolia repens. In addition to this dataset, a validation dataset was created to ensure independent validation. The area ratio between training and validation for most areas is about 50% to 50%. Exceptions only had to be made for classes with a very low area ratio or rare occurrence, for example for the class Juncus on PW or the class Festuca on CDCW.",Drone studies,GENERAL,FIELD (Field sampling data),FIELD - Assessments from plane or aerial imagery (incl. drone orthos)
"Remote sensing of wildfire using a small unmanned aerial system~ Post-fire mapping, vegetation recovery and damage analysis in grand bay, Mississippi~Alabama, USA",Reference 1,The ground reference (GR) classiﬁcation consisted of a combination of ﬁeld visits and an expert marking the boundaries of the burned areas by visual inspection of the high-resolution UAS orthomosaic. This,Drone studies,GENERAL,FIELD (Field sampling data),FIELD - Assessments from plane or aerial imagery (incl. drone orthos)
UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Reference 1,The decision tree classiﬁcation accuracy was similarly assessed using the 50–100 sample pixels for each species,Drone studies,GENERAL,FIELD (Field sampling data),FIELD - Assessments from plane or aerial imagery (incl. drone orthos)
UAV-Hyperspectral Imaging to Estimate Species Distribution in Salt Marshes~ A Case Study in the Cadiz Bay (SW Spain),Reference 1,"A region of interest (ROI) is a dataset sample considered important for a particular purpose [67]. In this case, the regions of interest (ROIs) contain the pixels with the pure spectra in the scene and are imported in the n-Dimensional Visualizer scatter plot (n-DV; Figure 3(9)).",Drone studies,GENERAL,FIELD (Field sampling data),FIELD - Assessments from plane or aerial imagery (incl. drone orthos)
Unmanned aerial vehicles as innovative remote sensing platforms for high-resolution infrared imagery to support restoration monitoring in cut-over bogs,Reference 1,"The accuracy of the ﬁnal classiﬁcation was evaluated by randomly selecting 600 samples, with a minimum of 45 samples within each class. These random samples were manually classiﬁed via an on-screen interpretation of the available image information in eCognition together with additional ﬁeld inspection",Drone studies,GENERAL,FIELD (Field sampling data),FIELD - Assessments from plane or aerial imagery (incl. drone orthos)
Multiscale Invasive Plant Monitoring~ Experiences from the Greater Everglades Restoration Area,Reference 1,"The Everglades CISMA monitoring program is providing naturalresource managers within the Greater Everglades ecosystem with several monitoring and mapping products aimed at achieving affordable solutions to multiple objectives at different temporal and spatial scales. Utilizing DASM technology along with trained observers can provide reasonably accurate spatial data with rapid turnaround, even when weed densities are low (Petty et al. 2012; Rodgers et al. 2014; Schrader-Patton 2003). We have adapted DASM methods for landscape-scale inventories, small-scale statistically designed monitoring to assess patch dynamics and temporal trends among the different regions within the landscape, and detailed mapping to support treatment activities of individual managers. Together, these three approaches for monitoring exotic plants work in combination to reduce management costs. Lowand-slow grid and outlier monitoring provides the most precise possible guidance to contractors and supports determinations of treatment effectiveness. GRTS panel monitoring helps to detect change and learn about localized causes of invasions. SRF flights provide an objective basis for recognizing and communicating the scope of the challenge and the landscape scale.",d studies,GENERAL,FIELD (Field sampling data),FIELD - Assessments from plane or aerial imagery (incl. drone orthos)
Arrested recovery in a sandy woodland correlates with a lack of heavy and long seeds in the seed bank,Reference 1,Plots were established between September 2007 and September 2008 and monitored every six months up until September 2012,d studies,GENERAL,FIELD (Field sampling data),"FIELD - Environmental data (temperature, water quality etc.)"
Assessing plant community composition fails to capture impacts of white-tailed deer on native and invasive plant species,Reference 1,Earthworm monitoring.,d studies,GENERAL,FIELD (Field sampling data),"FIELD - Environmental data (temperature, water quality etc.)"
Can functional leaf traits be used for monitoring wetland restoration~ A comparison between commonly used monitoring metrics and functional leaf traits,Reference 1,"Wells were designed to monitor both groundwater and surface water levels. Data were collected using electronic water-level data loggers set at either hourly or daily intervals. These wells were removed after 5–10 years of hydrological monitoring was completed. During 2015, sampling points were established in each wetland at prior locations of monitoring wells. Sampling points were determined by the location of the wells, with 2–4, but most commonly 3, sampling points at each site",d studies,GENERAL,FIELD (Field sampling data),"FIELD - Environmental data (temperature, water quality etc.)"
Threshold dynamics in plant succession after tree planting in agricultural riparian zones,Reference 1,"In an innovative adaptation, species scores along the PRC axis were averaged for meaningful ecological groups, to bring further mechanistic insights into successional patterns. Such an understanding can be taken a step further when environmental variables are monitored simultaneously with plant communities. By comparing the temporal dynamics of environmental variables with species turnover, it is possible to easily discriminate the primary drivers of plant succession, as shown here for light availability. Restoration researchers and practitioners are thus encouraged to collect both species and environmental data in restored and reference habitats over time, in order to perform time-series analyses",d studies,GENERAL,FIELD (Field sampling data),"FIELD - Environmental data (temperature, water quality etc.)"
Using turf transplants to reintroduce native forest understory plants into smelter-disturbed forests,Reference 1,Methods,d studies,GENERAL,FIELD (Field sampling data),"FIELD - Environmental data (temperature, water quality etc.)"
MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,Reference 1,28 field plots (15x15m2) with different types and structures of low vegetation were selected.,Drone studies,GENERAL,FIELD (Field sampling data),FIELD - Monitoring (long-term) data
Arrested recovery in a sandy woodland correlates with a lack of heavy and long seeds in the seed bank,Reference 1,Plots were established between September 2007 and September 2008 and monitored every six months up until September 2012,d studies,GENERAL,FIELD (Field sampling data),FIELD - Monitoring (long-term) data
Changes in vegetation over nine years after rehabilitating a linear feature in Australia's arid zone,Reference 1,"1992, 1994, 1995, 1997 and 1999 but",d studies,GENERAL,FIELD (Field sampling data),FIELD - Monitoring (long-term) data
Comparing survey methods for monitoring vegetation change through time in a restored peatland,Reference 1,"The surveys were always conducted in July, once prior to restoration (1999) and every 2 years post-restoration (2001, 2003, 2005, and 2007)",d studies,GENERAL,FIELD (Field sampling data),FIELD - Monitoring (long-term) data
Evaluation of a Regional Monitoring Program's Statistical Power to Detect Temporal Trends in Forest Health Indicators,Reference 1,Methods,d studies,GENERAL,FIELD (Field sampling data),FIELD - Monitoring (long-term) data
Evaluation of a Regional Monitoring Program's Statistical Power to Detect Temporal Trends in Forest Health Indicators,Reference 2,"In addition, although more difﬁcult logistically to implement, we could use what we have learned about how 1 3 total variance is partitioned for these ‘‘low power’’ indicators and modify the sampling design in such a way to reduce certain sources of variation. In our case, the primary source of variation for ‘‘low power’’ indicators was spatial variability. Therefore, additional sites could be added or a spatial stratiﬁcation scheme could be implemented (e.g., develop a landscape-based classiﬁcation scheme that groups similar plots and then look for trend within those vegetation classes). These power estimates",d studies,GENERAL,FIELD (Field sampling data),FIELD - Monitoring (long-term) data
Floristic quality assessment for marshes in Alberta's northern prairie and boreal regions,Reference 1,"Between 2007 and 2011, 144 semi-permanent and permanent shallow open waters and marshes (Stewart and Kantrud, 1971) were sampled in two contiguous ecoregions: the Aspen Parkland, characterized by mixed-wood forests, grasslands, and depressional wetlands; and the Boreal Plains, characterized by mixed-wood forests, extensive peatlands and some marshes.",d studies,GENERAL,FIELD (Field sampling data),FIELD - Monitoring (long-term) data
"Native biodiversity increases with rising plant invasions in temperate, freshwater wetlands",Reference 1,"This suggests that P. arundinacea may not be the primary cause of native species displacement under certain conditions, but rather the competitive nature of P. arundinacea is ampliﬁed when in association with other inﬂuential environmental variables that impact plant community structure and dominance regimes. Native species replacement by invasive plants was observed between S1 and S2 (0–10 years), but longer-term investigations (S1 to S3, 0–20 years) revealed invasive plant replacement by native species. These ﬁndings suggest that an increase in invasive plant richness and abundance does not necessarily lead to a decrease in wetland native plant biodiversity over time, indicating that metrics to measure biodiversity alone are not sufﬁcient enough to determine the ecological impact of invasive plant",d studies,GENERAL,FIELD (Field sampling data),FIELD - Monitoring (long-term) data
Non-native plant removal and high rainfall years promote post-fire recovery of Artemisia californica in southern California sage scrub,Reference 1,Experiment and data collection,d studies,GENERAL,FIELD (Field sampling data),FIELD - Monitoring (long-term) data
Recovery of vegetation on former alpine roads~ how long does it take~,Reference 1,"Excluding bryophytes and lichens from the species composition and richness indicators was, however, a pragmatic decision: determining bryophytes and lichens to the species level – particularly shortly after the restoration treatment – is time consuming and requires specific competence, and thus would increase costs of monitoring substantially.",d studies,GENERAL,FIELD (Field sampling data),FIELD - Monitoring (long-term) data
The hierarchy of predictability in ecological restoration~ are vegetation structure and functional diversity more predictable than community composition~,Reference 1,"Herbaceous standing crop data were collected in 1992 (pre-treatment), 1994 (after thinning, but before the ﬁrst burn), 1995, 1996, 1998, 1999, 2002, 2004, 2005, 2010 and 2014.",d studies,GENERAL,FIELD (Field sampling data),FIELD - Monitoring (long-term) data
Threshold dynamics in plant succession after tree planting in agricultural riparian zones,Reference 1,"In an innovative adaptation, species scores along the PRC axis were averaged for meaningful ecological groups, to bring further mechanistic insights into successional patterns. Such an understanding can be taken a step further when environmental variables are monitored simultaneously with plant communities. By comparing the temporal dynamics of environmental variables with species turnover, it is possible to easily discriminate the primary drivers of plant succession, as shown here for light availability. Restoration researchers and practitioners are thus encouraged to collect both species and environmental data in restored and reference habitats over time, in order to perform time-series analyses",d studies,GENERAL,FIELD (Field sampling data),FIELD - Monitoring (long-term) data
Using turf transplants to reintroduce native forest understory plants into smelter-disturbed forests,Reference 1,Methods,d studies,GENERAL,FIELD (Field sampling data),FIELD - Monitoring (long-term) data
Wildlife habitat condition in open pine woodlands~ Field data to refine management targets,Reference 1,long-term vegetation monitoring data,d studies,GENERAL,FIELD (Field sampling data),FIELD - Monitoring (long-term) data
Aboveground biomass estimation of wetland vegetation at the species level using unoccupied aerial vehicle RGB imagery,Reference 1,"Each plot had a large area of Z. latifolia, with vigorous growth stages and an average height of 1.20 to 1.54 m. A total of 38 sampling areas (0.6 m ~.6 m) containing only Z. latifolia were randomly distributed in four areas (Figure 1).",Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
Assessing the status of forest regeneration using digital aerial photogrammetry and unmanned aerial systems,Reference 1,Table 1. Total number of samples for each class within each classiﬁcation along with mean and standard deviations within and among classiﬁcations for the Nakusp Site.,Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
Detection and Quantification of Forest-Agriculture Ecotones Caused by Returning Farmland to Forest Program Using Unmanned Aircraft Imagery,Reference 1,"Three parallel sample transects were set along the direction perpendicular to the forest edge, with an interval of 20 m.",Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
Determination of Riparian Vegetation Biomass from an Unmanned Aerial Vehicle (UAV),Reference 1,Table 2. Main features of the test sites and ground-collected allometric data.,Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
Development of an Automated Monitoring Platform for Invasive Plants in a Rare Great Lakes Ecosystem Using Uncrewed Aerial Systems and Convolutional Neural Networks,Reference 1,"Ground surveys were conducted by ecologists within the defined monitoring area for the target invasive plant species. Locations of target invasive plant species and additional plant species of interest (i.e., additional invasive species, rare species, indicator species, and confusors) were marked with high-precision handheld GPS. Garmin Monterra units were used throughout the course of this project. In addition, we used color-coded flagging to mark a sampling of invasive plant species within each site (Figure 2). Both the GPS waypoints and color-coded flagging were used to facilitate later identification of invasive species on high-resolution imagery. In addition, the ground campaign provided critical information about where to focus UAS monitoring efforts within the sites.",Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
EFFECT OF TEXTURAL FEATURES FOR LANDCOVER CLASSIFICATION OF UAV MULTISPECTRAL IMAGERY OF A SALT MARSH RESTORATION SITE,Reference 1,Ground truth observations were obtained on 28 June 2020 using stratified random sampling with three transects and 15 quadrats (0.5 m x 0.5 m) per transect.,Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
Extraction and monitoring of vegetation coverage based on uncrewed aerial vehicle visible image in a post gold mining area,Reference 1,"Field and UAV aerial surveys were conducted in August 2019, 2020, and 2021 to monitor the vegetation coverage at the research site in the post-mining area.",Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
Fine scale plant community assessment in coastal meadows using UAV based multispectral data,Reference 1,"Field sampling was undertaken in July 2018 over a 1 week period. Plant communities were identified based on the phytosociological key developed for Baltic coastal wetlands (Table 1; Burnside et al., 2007). In total, 140 1m2 quadrats were located using a stratified random approach (ten quadrats per community type in three sites) (Ward et al., 2016b). Within the quadrats, plants with an area coverage of 5% or more were recorded (Rodwell, 1995), as well as the cover of bare ground and litter. In the 209 Open Pioneer community all plants were recorded as a result of the low cover of all species and predominance of bare ground.",Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,Reference 1,"In the 2.5 hm2 sample area, a total of 40 1 m × 1 m quadrats were placed, including 30 quadrats of dominant species, constructive species, and companion species, and 10 mixed quadrats.",Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
Improving the efficiency and accuracy of evaluating Aridland riparian habitat restoration using unmanned aerial vehicles,Reference 1,"In accordance with Minutes 319 and 323, a monitoring program assesses the impacts of water deliveries and restoration on vegetation and wildlife in the Delta (International Boundary and Water Commission, 2018). Vegetation monitoring plots of 5x15 m were randomly established in restoration sites with more than two years of growth. We sampled vegetation from September 14 to October 17, 2018 (end of plant growing season) at a density of 0.70–0.78 sampling plots/ha (19 plots in Herradura, 14 in Cori Rombo, and 57 in CILA). In each plot, we estimated foliar cover, or the estimated leaf area of combined layers of vegetation (Daubenmire, 1959; Floyd & Anderson, 1987), for trees and shrubs by species, for all shrubs combined, for all trees combined, and in total",Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Reference 1,A total of 174 individual plants across 9 species were sampled at study site 1 (Figure 2).,Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
Mechanical Harvesting Effectively Controls Young Typha spp. Invasion and Unmanned Aerial Vehicle Data Enhances Post-treatment Monitoring,Reference 1,Field Data Collection,Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
Monitoring ecological characteristics of a tallgrass prairie using an unmanned aerial vehicle,Reference 1,"Plant cover by functional groups (i.e. C3 grasses, C4 graminoids, N-ﬁxing forbs, non-N-ﬁxing forbs, all forbs), Shannon diversity, richness, and a percent graminoid:forb ratio were calculated for each quadrat.",Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,Reference 1,28 field plots (15x15m2) with different types and structures of low vegetation were selected.,Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
Monitoring post-fire neighborhood competition effects on pine saplings under different environmental conditions by means of UAV multispectral data and structure-from-motion photogrammetry,Reference 1,Vegetation ground truth data sampled in the field sampling campaign of each study site and fire-adaptive traits of each shrub species.,Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
Monitoring restored tropical forest diversity and structure through UAV-borne hyperspectral and lidar fusion,Reference 1,"Forest inventory field data were collected in November 2019, when the plantation was 13.5 years old.",Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
Monitoring the colonization of alluvial deposits using multitemporal UAV RGB-imagery,Reference 1,"70, 91 and 62 vegetation surveys in March, May and July, respectively. We performed seven lateral transects along the river (Figure 1). Each transect was replicated three times at a distance of 1 m from each other. For each transect, we conducted a series of 1 m × 1 m quadrats (one quadrat per homogeneous vegetation unit, based on expert knowledge).",Drone studies,GENERAL,FIELD (Field sampling data),"FIELD - Plant data (species count, abundance, other plant metrics)"
