,document_id,attribute,code_lev1,code_lev2,snippet_left,snippet_right,group_folder
1510,Augmenting size models for Pinus strobiformis seedlings using dimensional estimates from unmanned aircraft systems,"Individuals
(Indicators/Invasives)",Complexity,Positive sentiment,the number ofseedlings  while the time to survey them with uas increases according to the number ofboxes  as a result  the methods that we present here have the potential to reduce the number ofhours and monetary costs ofcommon garden experiments con  taining conifer seedlings,the number ofseedlings  while the time to survey them with uas increases according to the number ofboxes  as a result  the methods that we present here have the potential to reduce the number ofhours and monetary costs ofcommon garden experiments con  taining conifer seedlings,Drone-assisted studies
1251,The absence of keystone indigenous trees inhibits bird recovery up to a decade after invasive tree removal from riparian habitats,Vegetation structure,Complexity,Positive sentiment,the occurrence of these species in nearby invaded habitat highlights the importance of vegetation structure  the high numbers of granivores we found in cleared sites could accelerate restoration because these species act as valuable seed dispersers  but their occurrence can also facilitate invasion by alien plants  heleno et al   2010,the occurrence of these species in nearby invaded habitat highlights the importance of vegetation structure  the high numbers of granivores we found in cleared sites could accelerate restoration because these species act as valuable seed dispersers  but their occurrence can also facilitate invasion by alien plants  heleno et al   2010,Field-based studies
961,Using Uncrewed Aerial Vehicles for Identifying the Extent of Invasive Phragmites australis in Treatment Areas Enrolled in an Adaptive Management Program,"Individuals
(Indicators/Invasives)",Novelty,Negative sentiment,the off the shelf phantom 3 solution appeared to perform as well the nir solution that required a custom mount,the off the shelf phantom 3 solution appeared to perform as well the nir solution that required a custom mount,Drone-assisted studies
962,Using Uncrewed Aerial Vehicles for Identifying the Extent of Invasive Phragmites australis in Treatment Areas Enrolled in an Adaptive Management Program,"Individuals
(Indicators/Invasives)",SENS (Drone sensor),Multispec.,the off the shelf phantom 3 solution appeared to perform as well the nir solution that required a custom mount,the off the shelf phantom 3 solution appeared to perform as well the nir solution that required a custom mount,Drone-assisted studies
1650,Multisensor data to derive peatland vegetation communities using a fixed-wing unmanned aerial vehicle,Species composition,SENS (Drone sensor),Multispec.,the oob error gives information about the quality of the training  the error was 0 2  for pw and 1 8  for cdcw showing that nearly all training data were predicted correctly and  thus  the rf algorithm worked very precisely for the data at hand,the oob error gives information about the quality of the training  the error was 0 2  for pw and 1 8  for cdcw showing that nearly all training data were predicted correctly and  thus  the rf algorithm worked very precisely for the data at hand,Drone-assisted studies
1652,Multisensor data to derive peatland vegetation communities using a fixed-wing unmanned aerial vehicle,Species composition,SENS (Drone sensor),Thermal,the oob error gives information about the quality of the training  the error was 0 2  for pw and 1 8  for cdcw showing that nearly all training data were predicted correctly and  thus  the rf algorithm worked very precisely for the data at hand,the oob error gives information about the quality of the training  the error was 0 2  for pw and 1 8  for cdcw showing that nearly all training data were predicted correctly and  thus  the rf algorithm worked very precisely for the data at hand,Drone-assisted studies
1651,Multisensor data to derive peatland vegetation communities using a fixed-wing unmanned aerial vehicle,Species composition,SENS (Drone sensor),RGB,the oob error gives information about the quality of the training  the error was 0 2  for pw and 1 8  for cdcw showing that nearly all training data were predicted correctly and  thus  the rf algorithm worked very precisely for the data at hand,the oob error gives information about the quality of the training  the error was 0 2  for pw and 1 8  for cdcw showing that nearly all training data were predicted correctly and  thus  the rf algorithm worked very precisely for the data at hand,Drone-assisted studies
1648,Multisensor data to derive peatland vegetation communities using a fixed-wing unmanned aerial vehicle,Species composition,Uncertainty,Positive sentiment,the oob error gives information about the quality of the training  the error was 0 2  for pw and 1 8  for cdcw showing that nearly all training data were predicted correctly and  thus  the rf algorithm worked very precisely for the data at hand,the oob error gives information about the quality of the training  the error was 0 2  for pw and 1 8  for cdcw showing that nearly all training data were predicted correctly and  thus  the rf algorithm worked very precisely for the data at hand,Drone-assisted studies
1421,Visualizing the Spatiotemporal Trends of Thermal Characteristics in a Peatland Plantation Forest in Indonesia~ Pilot Test Using Unmanned Aerial Systems (UASs),"Plant func. type
composition",Uncertainty,Positive sentiment,the overall accuracy was 95 67,the overall accuracy was 95 67,Drone-assisted studies
119,"Evaluating techniques for mapping island vegetation from unmanned aerial vehicle (UAV) images~ Pixel classification, visual interpretation and machine learning approaches",Fractional veg. cover,SENS (Drone sensor),RGB,the pixel based image classiﬁcations accurately summarised vege  tation cover for the full areal extent of big island  across the four surveys  accuracies ranged from 74 to 85,the pixel based image classiﬁcations accurately summarised vege  tation cover for the full areal extent of big island  across the four surveys  accuracies ranged from 74 to 85,Drone-assisted studies
122,"Evaluating techniques for mapping island vegetation from unmanned aerial vehicle (UAV) images~ Pixel classification, visual interpretation and machine learning approaches","Plant func. type
composition",SENS (Drone sensor),RGB,the pixel based image classiﬁcations accurately summarised vege  tation cover for the full areal extent of big island  across the four surveys  accuracies ranged from 74 to 85,the pixel based image classiﬁcations accurately summarised vege  tation cover for the full areal extent of big island  across the four surveys  accuracies ranged from 74 to 85,Drone-assisted studies
118,"Evaluating techniques for mapping island vegetation from unmanned aerial vehicle (UAV) images~ Pixel classification, visual interpretation and machine learning approaches","Plant func. type
composition",Uncertainty,Positive sentiment,the pixel based image classiﬁcations accurately summarised vege  tation cover for the full areal extent of big island  across the four surveys  accuracies ranged from 74 to 85,the pixel based image classiﬁcations accurately summarised vege  tation cover for the full areal extent of big island  across the four surveys  accuracies ranged from 74 to 85,Drone-assisted studies
117,"Evaluating techniques for mapping island vegetation from unmanned aerial vehicle (UAV) images~ Pixel classification, visual interpretation and machine learning approaches",Fractional veg. cover,Uncertainty,Positive sentiment,the pixel based image classiﬁcations accurately summarised vege  tation cover for the full areal extent of big island  across the four surveys  accuracies ranged from 74 to 85,the pixel based image classiﬁcations accurately summarised vege  tation cover for the full areal extent of big island  across the four surveys  accuracies ranged from 74 to 85,Drone-assisted studies
1079,Using a vegetation index to assess wetland condition in the Prairie Pothole Region of North America,Species composition,Complexity,Positive sentiment,the plant based ipci used for this case study has proven useful for assessing wetlands of the ppr  dekeyser et al   2003  hargiss et al   2008   these concepts and methods should be easily adapted elsewhere,the plant based ipci used for this case study has proven useful for assessing wetlands of the ppr  dekeyser et al   2003  hargiss et al   2008   these concepts and methods should be easily adapted elsewhere,Field-based studies
1507,Augmenting size models for Pinus strobiformis seedlings using dimensional estimates from unmanned aircraft systems,"Individuals
(Indicators/Invasives)",RELI - (Information acquistion reliant on...),Weather,the point cloud in 2018 had much lower point density than that in 2017  which resulted in lesser ground point density  this could be due to a combination of two factors   i  the larger seedling crowns and complex geometry and  ii  there was a gentle wind during the data collection  which caused the seedlings to sway,the point cloud in 2018 had much lower point density than that in 2017  which resulted in lesser ground point density  this could be due to a combination of two factors   i  the larger seedling crowns and complex geometry and  ii  there was a gentle wind during the data collection  which caused the seedlings to sway,Drone-assisted studies
1224,Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Topography,Decision support,Postive sentiment,the primary aim of peatland restoration is a spatially comprehensive rewetting of the site for the recovery of pristine like processes such as carbon sequestration  succession toward biodiversity and retaining the natural function in the catchment hydrology  as peatland degradation has been more and more understood as a global threat  larger areas become subject to restoration each year  and novel  area efﬁcient and harmonious monitoring methods are needed  13,the primary aim of peatland restoration is a spatially comprehensive rewetting of the site for the recovery of pristine like processes such as carbon sequestration  succession toward biodiversity and retaining the natural function in the catchment hydrology  as peatland degradation has been more and more understood as a global threat  larger areas become subject to restoration each year  and novel  area efﬁcient and harmonious monitoring methods are needed  13,Drone-assisted studies
264,Monitoring post-fire neighborhood competition effects on pine saplings under different environmental conditions by means of UAV multispectral data and structure-from-motion photogrammetry,Spatial mosaic,Decision support,Postive sentiment,the proposed approach constitutes a valuable post fire management tool for measuring the effect of neighborhood competition on the performance of pine saplings,the proposed approach constitutes a valuable post fire management tool for measuring the effect of neighborhood competition on the performance of pine saplings,Drone-assisted studies
265,Monitoring post-fire neighborhood competition effects on pine saplings under different environmental conditions by means of UAV multispectral data and structure-from-motion photogrammetry,Species composition,Decision support,Postive sentiment,the proposed approach constitutes a valuable post fire management tool for measuring the effect of neighborhood competition on the performance of pine saplings,the proposed approach constitutes a valuable post fire management tool for measuring the effect of neighborhood competition on the performance of pine saplings,Drone-assisted studies
1442,Determination of Riparian Vegetation Biomass from an Unmanned Aerial Vehicle (UAV),"Productivity
(Health/Biomass)",RELI - (Information acquistion reliant on...),Veg density,the proposed methodology  thanks to the support of the new technologies  allows an accurate estimation of the wood biomass available in a riverbank environment under consortium management  overcoming the limits of a traditional ground survey  a careful preliminary analysis of the area under investigation based on the available local orthophotos permitted ﬁve zones representative of the morpho vegetational trees  variety to be identiﬁed  a quick pilot inspection of the riverbank segments selected for the trials was crucial to choose the accessible sites  discarding points with extremely dense vegetation  steep banks  or even closed by private property fences,the proposed methodology  thanks to the support of the new technologies  allows an accurate estimation of the wood biomass available in a riverbank environment under consortium management  overcoming the limits of a traditional ground survey  a careful preliminary analysis of the area under investigation based on the available local orthophotos permitted ﬁve zones representative of the morpho vegetational trees  variety to be identiﬁed  a quick pilot inspection of the riverbank segments selected for the trials was crucial to choose the accessible sites  discarding points with extremely dense vegetation  steep banks  or even closed by private property fences,Drone-assisted studies
853,Aboveground biomass estimation of wetland vegetation at the species level using unoccupied aerial vehicle RGB imagery,"Productivity
(Health/Biomass)",Uncertainty,Positive sentiment,the quadratic model constructed by cive had the highest modeling r2  0 79  which was higher than that of the quadratic model constructed by exg  0 78  and com2  0 75   according to the accuracy validation results in figure 6  cive was the best vegetation index for the agb inversion of z  latifolia  the,the quadratic model constructed by cive had the highest modeling r2  0 79  which was higher than that of the quadratic model constructed by exg  0 78  and com2  0 75   according to the accuracy validation results in figure 6  cive was the best vegetation index for the agb inversion of z  latifolia  the,Drone-assisted studies
135,Extraction and monitoring of vegetation coverage based on uncrewed aerial vehicle visible image in a post gold mining area,Fractional veg. cover,Complexity,Postive sentiment,the results of this study indicate that vegetation coverage data can be accurately extracted from uav images  as an unsupervised classiﬁcation method  the visible light vegetation index can be used to extract vegetation coverage quickly and accurately without manual visual discrimination of vegetation areas or non vegetation areas,the results of this study indicate that vegetation coverage data can be accurately extracted from uav images  as an unsupervised classiﬁcation method  the visible light vegetation index can be used to extract vegetation coverage quickly and accurately without manual visual discrimination of vegetation areas or non vegetation areas,Drone-assisted studies
136,Extraction and monitoring of vegetation coverage based on uncrewed aerial vehicle visible image in a post gold mining area,Fractional veg. cover,Complexity,Positive sentiment,the results of this study indicate that vegetation coverage data can be accurately extracted from uav images  as an unsupervised classiﬁcation method  the visible light vegetation index can be used to extract vegetation coverage quickly and accurately without manual visual discrimination of vegetation areas or non vegetation areas,the results of this study indicate that vegetation coverage data can be accurately extracted from uav images  as an unsupervised classiﬁcation method  the visible light vegetation index can be used to extract vegetation coverage quickly and accurately without manual visual discrimination of vegetation areas or non vegetation areas,Drone-assisted studies
1649,Multisensor data to derive peatland vegetation communities using a fixed-wing unmanned aerial vehicle,Spatial mosaic,Complexity,Positive sentiment,the rf classiﬁcation of pw shows the characteristic patchy structure of the vegetation  figure 4 a    this structure is a typical characteristic  caused by the  quasi natural  succession on rewetted percolation fens,the rf classiﬁcation of pw shows the characteristic patchy structure of the vegetation  figure 4 a    this structure is a typical characteristic  caused by the  quasi natural  succession on rewetted percolation fens,Drone-assisted studies
1286,Comparison of RGB and Multispectral Unmanned Aerial Vehicle for Monitoring Vegetation Coverage Changes on a Landslide Area,Vegetation structure,Complexity,Positive sentiment,the rgb uav delivered impressive results  being able to monitor vegetation growth in detail despite the low cost of the system,the rgb uav delivered impressive results  being able to monitor vegetation growth in detail despite the low cost of the system,Drone-assisted studies
1287,Comparison of RGB and Multispectral Unmanned Aerial Vehicle for Monitoring Vegetation Coverage Changes on a Landslide Area,Vegetation structure,SENS (Drone sensor),RGB,the rgb uav delivered impressive results  being able to monitor vegetation growth in detail despite the low cost of the system,the rgb uav delivered impressive results  being able to monitor vegetation growth in detail despite the low cost of the system,Drone-assisted studies
1704,Unmanned aerial vehicles as innovative remote sensing platforms for high-resolution infrared imagery to support restoration monitoring in cut-over bogs,Species composition,Uncertainty,Positive sentiment,the semi automatic object based classiﬁcation distinguished between the four classes  water logged bare peat  sphagnum spp   eriophorum vaginatum  betula pubescens at an overall accuracy level of 91   table 3   which is above the threshold for valid interpretation  85   proposed by anderson et al   1976,the semi automatic object based classiﬁcation distinguished between the four classes  water logged bare peat  sphagnum spp   eriophorum vaginatum  betula pubescens at an overall accuracy level of 91   table 3   which is above the threshold for valid interpretation  85   proposed by anderson et al   1976,Drone-assisted studies
1705,Unmanned aerial vehicles as innovative remote sensing platforms for high-resolution infrared imagery to support restoration monitoring in cut-over bogs,Species composition,BIOME (Biome of ecosites),Wetland/riparian,the semi automatic object based classiﬁcation distinguished between the four classes  water logged bare peat  sphagnum spp   eriophorum vaginatum  betula pubescens at an overall accuracy level of 91   table 3   which is above the threshold for valid interpretation  85   proposed by anderson et al   1976,the semi automatic object based classiﬁcation distinguished between the four classes  water logged bare peat  sphagnum spp   eriophorum vaginatum  betula pubescens at an overall accuracy level of 91   table 3   which is above the threshold for valid interpretation  85   proposed by anderson et al   1976,Drone-assisted studies
1706,Unmanned aerial vehicles as innovative remote sensing platforms for high-resolution infrared imagery to support restoration monitoring in cut-over bogs,Species composition,SENS (Drone sensor),Multispec.,the semi automatic object based classiﬁcation distinguished between the four classes  water logged bare peat  sphagnum spp   eriophorum vaginatum  betula pubescens at an overall accuracy level of 91   table 3   which is above the threshold for valid interpretation  85   proposed by anderson et al   1976,the semi automatic object based classiﬁcation distinguished between the four classes  water logged bare peat  sphagnum spp   eriophorum vaginatum  betula pubescens at an overall accuracy level of 91   table 3   which is above the threshold for valid interpretation  85   proposed by anderson et al   1976,Drone-assisted studies
269,Monitoring post-fire neighborhood competition effects on pine saplings under different environmental conditions by means of UAV multispectral data and structure-from-motion photogrammetry,Species composition,RELI - (Information acquistion reliant on...),Flight parameters,the spectral separability of the most frequent misclassified species in the present study  cytisus scoparius and ulex europaeus in the atlantic site  and ulex parviflorus and quercus coccifera in the mediterranean site  could have been further improved by using hyperspectral uav borne data due to the similar spectral response of these species at the four wavelengths in which parrot sequoia channels span  likewise  the use of multi temporal uav data  or data fusion of dense time series satellite imagery and mono temporal uav orthoimagery  gr anzig et al   2021   could have enhanced the spectral separability by capturing the heterogeneity in the phenology variations between species of the study sites  such as leaf emergence or flowering  as evidenced in several studies  e g  sheeren et al   2016  grabska et al   2019  gr anzig et al   2021,the spectral separability of the most frequent misclassified species in the present study  cytisus scoparius and ulex europaeus in the atlantic site  and ulex parviflorus and quercus coccifera in the mediterranean site  could have been further improved by using hyperspectral uav borne data due to the similar spectral response of these species at the four wavelengths in which parrot sequoia channels span  likewise  the use of multi temporal uav data  or data fusion of dense time series satellite imagery and mono temporal uav orthoimagery  gr anzig et al   2021   could have enhanced the spectral separability by capturing the heterogeneity in the phenology variations between species of the study sites  such as leaf emergence or flowering  as evidenced in several studies  e g  sheeren et al   2016  grabska et al   2019  gr anzig et al   2021,Drone-assisted studies
270,Monitoring post-fire neighborhood competition effects on pine saplings under different environmental conditions by means of UAV multispectral data and structure-from-motion photogrammetry,Species composition,RELI - (Information acquistion reliant on...),Phenology,the spectral separability of the most frequent misclassified species in the present study  cytisus scoparius and ulex europaeus in the atlantic site  and ulex parviflorus and quercus coccifera in the mediterranean site  could have been further improved by using hyperspectral uav borne data due to the similar spectral response of these species at the four wavelengths in which parrot sequoia channels span  likewise  the use of multi temporal uav data  or data fusion of dense time series satellite imagery and mono temporal uav orthoimagery  gr anzig et al   2021   could have enhanced the spectral separability by capturing the heterogeneity in the phenology variations between species of the study sites  such as leaf emergence or flowering  as evidenced in several studies  e g  sheeren et al   2016  grabska et al   2019  gr anzig et al   2021,the spectral separability of the most frequent misclassified species in the present study  cytisus scoparius and ulex europaeus in the atlantic site  and ulex parviflorus and quercus coccifera in the mediterranean site  could have been further improved by using hyperspectral uav borne data due to the similar spectral response of these species at the four wavelengths in which parrot sequoia channels span  likewise  the use of multi temporal uav data  or data fusion of dense time series satellite imagery and mono temporal uav orthoimagery  gr anzig et al   2021   could have enhanced the spectral separability by capturing the heterogeneity in the phenology variations between species of the study sites  such as leaf emergence or flowering  as evidenced in several studies  e g  sheeren et al   2016  grabska et al   2019  gr anzig et al   2021,Drone-assisted studies
465,Use of Unmanned Aerial Vehicles for Monitoring Recovery of Forest Vegetation on Petroleum Well Sites,Vegetation structure,SENS (Drone sensor),RGB,the strong  statistically signiﬁcant correlations between ground and ppc estimations of mean and maximum vegetation height demonstrated that the point clouds produced by uav acquired imagery reﬂected on the ground vegetation heights quite well  pearson s,the strong  statistically signiﬁcant correlations between ground and ppc estimations of mean and maximum vegetation height demonstrated that the point clouds produced by uav acquired imagery reﬂected on the ground vegetation heights quite well  pearson s,Drone-assisted studies
462,Use of Unmanned Aerial Vehicles for Monitoring Recovery of Forest Vegetation on Petroleum Well Sites,Vegetation structure,Uncertainty,Positive sentiment,the strong  statistically signiﬁcant correlations between ground and ppc estimations of mean and maximum vegetation height demonstrated that the point clouds produced by uav acquired imagery reﬂected on the ground vegetation heights quite well  pearson s,the strong  statistically signiﬁcant correlations between ground and ppc estimations of mean and maximum vegetation height demonstrated that the point clouds produced by uav acquired imagery reﬂected on the ground vegetation heights quite well  pearson s,Drone-assisted studies
935,Development of an Automated Monitoring Platform for Invasive Plants in a Rare Great Lakes Ecosystem Using Uncrewed Aerial Systems and Convolutional Neural Networks,"Individuals
(Indicators/Invasives)",Uncertainty,Neutral sentiment,the structural contrast between these two invasive species and the native species and the ecosystem they are infesting facilitates their identification through remote sensing techniques  to test the robustness of our methodology  we recommend evaluating these species across a greater range of sites and ecosystems to capture regional variability of these invasive species as well as the ecosystems they are invading  in addition  we propose evaluating additional invasive plant species that are less distinct from their biotic and abiotic surroundings,the structural contrast between these two invasive species and the native species and the ecosystem they are infesting facilitates their identification through remote sensing techniques  to test the robustness of our methodology  we recommend evaluating these species across a greater range of sites and ecosystems to capture regional variability of these invasive species as well as the ecosystems they are invading  in addition  we propose evaluating additional invasive plant species that are less distinct from their biotic and abiotic surroundings,Drone-assisted studies
1143,Detection and Quantification of Forest-Agriculture Ecotones Caused by Returning Farmland to Forest Program Using Unmanned Aircraft Imagery,Topography,Uncertainty,Negative sentiment,the success of the experiment depends on the topographic heterogeneity of the predicted area and the spatial conﬁguration of the ground points that may be extracted  moreover  according to the cross validation results  we found that regardless of the statistical model  the prediction of variability is generally underestimated  table s2,the success of the experiment depends on the topographic heterogeneity of the predicted area and the spatial conﬁguration of the ground points that may be extracted  moreover  according to the cross validation results  we found that regardless of the statistical model  the prediction of variability is generally underestimated  table s2,Drone-assisted studies
1144,Detection and Quantification of Forest-Agriculture Ecotones Caused by Returning Farmland to Forest Program Using Unmanned Aircraft Imagery,Topography,SENS (Drone sensor),RGB,the success of the experiment depends on the topographic heterogeneity of the predicted area and the spatial conﬁguration of the ground points that may be extracted  moreover  according to the cross validation results  we found that regardless of the statistical model  the prediction of variability is generally underestimated  table s2,the success of the experiment depends on the topographic heterogeneity of the predicted area and the spatial conﬁguration of the ground points that may be extracted  moreover  according to the cross validation results  we found that regardless of the statistical model  the prediction of variability is generally underestimated  table s2,Drone-assisted studies
966,Using Uncrewed Aerial Vehicles for Identifying the Extent of Invasive Phragmites australis in Treatment Areas Enrolled in an Adaptive Management Program,"Individuals
(Indicators/Invasives)",Complexity,Positive sentiment,the technology is at a price point for practical adoption  can be deployed rapidly  and can produce data that can help the manager make a decision about management without extensive processing time required by other remote sensing techniques  such as airborne or satellite data collection  uavs can make it easier to get sufﬁciently accurate presence and extent information for areas that may be difﬁcult to get to  including areas that may need monitoring of post treatment response  this technology has been demonstrated to be a useful tool that ﬁlls the gap between ﬁeld data collection and large investments in ﬁxed wing or satellite platforms  this makes the results even more useful to managers whether they are federal professionals or landowners with varying levels of experience,the technology is at a price point for practical adoption  can be deployed rapidly  and can produce data that can help the manager make a decision about management without extensive processing time required by other remote sensing techniques  such as airborne or satellite data collection  uavs can make it easier to get sufﬁciently accurate presence and extent information for areas that may be difﬁcult to get to  including areas that may need monitoring of post treatment response  this technology has been demonstrated to be a useful tool that ﬁlls the gap between ﬁeld data collection and large investments in ﬁxed wing or satellite platforms  this makes the results even more useful to managers whether they are federal professionals or landowners with varying levels of experience,Drone-assisted studies
965,Using Uncrewed Aerial Vehicles for Identifying the Extent of Invasive Phragmites australis in Treatment Areas Enrolled in an Adaptive Management Program,"Individuals
(Indicators/Invasives)",Complexity,Postive sentiment,the technology is at a price point for practical adoption  can be deployed rapidly  and can produce data that can help the manager make a decision about management without extensive processing time required by other remote sensing techniques  such as airborne or satellite data collection  uavs can make it easier to get sufﬁciently accurate presence and extent information for areas that may be difﬁcult to get to  including areas that may need monitoring of post treatment response  this technology has been demonstrated to be a useful tool that ﬁlls the gap between ﬁeld data collection and large investments in ﬁxed wing or satellite platforms  this makes the results even more useful to managers whether they are federal professionals or landowners with varying levels of experience,the technology is at a price point for practical adoption  can be deployed rapidly  and can produce data that can help the manager make a decision about management without extensive processing time required by other remote sensing techniques  such as airborne or satellite data collection  uavs can make it easier to get sufﬁciently accurate presence and extent information for areas that may be difﬁcult to get to  including areas that may need monitoring of post treatment response  this technology has been demonstrated to be a useful tool that ﬁlls the gap between ﬁeld data collection and large investments in ﬁxed wing or satellite platforms  this makes the results even more useful to managers whether they are federal professionals or landowners with varying levels of experience,Drone-assisted studies
956,Using Uncrewed Aerial Vehicles for Identifying the Extent of Invasive Phragmites australis in Treatment Areas Enrolled in an Adaptive Management Program,"Individuals
(Indicators/Invasives)",Decision support,Postive sentiment,the technology is at a price point for practical adoption  can be deployed rapidly  and can produce data that can help the manager make a decision about management without extensive processing time required by other remote sensing techniques  such as airborne or satellite data collection  uavs can make it easier to get sufﬁciently accurate presence and extent information for areas that may be difﬁcult to get to  including areas that may need monitoring of post treatment response  this technology has been demonstrated to be a useful tool that ﬁlls the gap between ﬁeld data collection and large investments in ﬁxed wing or satellite platforms  this makes the results even more useful to managers whether they are federal professionals or landowners with varying levels of experience,the technology is at a price point for practical adoption  can be deployed rapidly  and can produce data that can help the manager make a decision about management without extensive processing time required by other remote sensing techniques  such as airborne or satellite data collection  uavs can make it easier to get sufﬁciently accurate presence and extent information for areas that may be difﬁcult to get to  including areas that may need monitoring of post treatment response  this technology has been demonstrated to be a useful tool that ﬁlls the gap between ﬁeld data collection and large investments in ﬁxed wing or satellite platforms  this makes the results even more useful to managers whether they are federal professionals or landowners with varying levels of experience,Drone-assisted studies
361,"Remote sensing of wildfire using a small unmanned aerial system~ Post-fire mapping, vegetation recovery and damage analysis in grand bay, Mississippi~Alabama, USA",Fractional veg. cover,Uncertainty,Positive sentiment,the uas derived classiﬁcation map had higher accuracy than the barc product with respect to the gr  table 2   this increase in accuracy is mostly attributable to the increased spatial resolution of the uas imagery  22   due to the gr regions location inland  the barc map accuracy assessment tends to show greater misclassiﬁcations near areas of low elevation close to the water that are predominantly vegetated by graminoid species  figures 11 13,the uas derived classiﬁcation map had higher accuracy than the barc product with respect to the gr  table 2   this increase in accuracy is mostly attributable to the increased spatial resolution of the uas imagery  22   due to the gr regions location inland  the barc map accuracy assessment tends to show greater misclassiﬁcations near areas of low elevation close to the water that are predominantly vegetated by graminoid species  figures 11 13,Drone-assisted studies
1198,UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Vegetation structure,Uncertainty,Positive sentiment,the uav lidar data  however  appeared to perform equally well in height estimates of shorter vegetation  fig  6,the uav lidar data  however  appeared to perform equally well in height estimates of shorter vegetation  fig  6,Drone-assisted studies
1204,UAV lidar and hyperspectral fusion for forest monitoring in the southwestern USA,Vegetation structure,SENS (Drone sensor),LiDAR,the uav lidar data  however  appeared to perform equally well in height estimates of shorter vegetation  fig  6,the uav lidar data  however  appeared to perform equally well in height estimates of shorter vegetation  fig  6,Drone-assisted studies
296,Monitoring restored tropical forest diversity and structure through UAV-borne hyperspectral and lidar fusion,"Productivity
(Health/Biomass)",INTEG (Data integration),With spatial RS data,the use of lidar data as an intermediary layer between field and spectral satellite data   upscaling  technique  is critical to generate large samples of agb with high accuracy and thus generate more robust maps using satellite images for more extensive areas  csillik et al   2019  combined lidar and high resolution satellite images to generate a biomass map for the entire country of peru  new orbital lidar sensors are expected to generate more accurate maps of tropical forest agb and stand structure attributes  one of them is the  global ecosystem 631 dynamics investigation   gedi  orbital lidar sensor  however  its information is not spatially continuous and has much lower precision and accuracy compared with lidar sensors onboard aircraft and uavs  dubayah et al  2020,the use of lidar data as an intermediary layer between field and spectral satellite data   upscaling  technique  is critical to generate large samples of agb with high accuracy and thus generate more robust maps using satellite images for more extensive areas  csillik et al   2019  combined lidar and high resolution satellite images to generate a biomass map for the entire country of peru  new orbital lidar sensors are expected to generate more accurate maps of tropical forest agb and stand structure attributes  one of them is the  global ecosystem 631 dynamics investigation   gedi  orbital lidar sensor  however  its information is not spatially continuous and has much lower precision and accuracy compared with lidar sensors onboard aircraft and uavs  dubayah et al  2020,Drone-assisted studies
295,Monitoring restored tropical forest diversity and structure through UAV-borne hyperspectral and lidar fusion,"Productivity
(Health/Biomass)",INTEG (Data integration),Positive sentiment,the use of lidar data as an intermediary layer between field and spectral satellite data   upscaling  technique  is critical to generate large samples of agb with high accuracy and thus generate more robust maps using satellite images for more extensive areas  csillik et al   2019  combined lidar and high resolution satellite images to generate a biomass map for the entire country of peru  new orbital lidar sensors are expected to generate more accurate maps of tropical forest agb and stand structure attributes  one of them is the  global ecosystem 631 dynamics investigation   gedi  orbital lidar sensor  however  its information is not spatially continuous and has much lower precision and accuracy compared with lidar sensors onboard aircraft and uavs  dubayah et al  2020,the use of lidar data as an intermediary layer between field and spectral satellite data   upscaling  technique  is critical to generate large samples of agb with high accuracy and thus generate more robust maps using satellite images for more extensive areas  csillik et al   2019  combined lidar and high resolution satellite images to generate a biomass map for the entire country of peru  new orbital lidar sensors are expected to generate more accurate maps of tropical forest agb and stand structure attributes  one of them is the  global ecosystem 631 dynamics investigation   gedi  orbital lidar sensor  however  its information is not spatially continuous and has much lower precision and accuracy compared with lidar sensors onboard aircraft and uavs  dubayah et al  2020,Drone-assisted studies
52,Assessing the status of forest regeneration using digital aerial photogrammetry and unmanned aerial systems,"Plant func. type
composition",Complexity,Positive sentiment,the use of uas imagery and dap point clouds in this study has shown their eﬀectiveness in detailing all of these characteristics  the ability to detail location  distribution  as well as spectral and structural characteristics at the centimetre level from a single uas ﬂight plan demonstrates the eﬀectiveness of dap technology for providing enhanced forest inventory information in an eﬃcient and costeﬀective manner  dvořák et al  2015,the use of uas imagery and dap point clouds in this study has shown their eﬀectiveness in detailing all of these characteristics  the ability to detail location  distribution  as well as spectral and structural characteristics at the centimetre level from a single uas ﬂight plan demonstrates the eﬀectiveness of dap technology for providing enhanced forest inventory information in an eﬃcient and costeﬀective manner  dvořák et al  2015,Drone-assisted studies
49,Assessing the status of forest regeneration using digital aerial photogrammetry and unmanned aerial systems,Fractional veg. cover,Complexity,Positive sentiment,the use of uas imagery and dap point clouds in this study has shown their eﬀectiveness in detailing all of these characteristics  the ability to detail location  distribution  as well as spectral and structural characteristics at the centimetre level from a single uas ﬂight plan demonstrates the eﬀectiveness of dap technology for providing enhanced forest inventory information in an eﬃcient and costeﬀective manner  dvořák et al  2015,the use of uas imagery and dap point clouds in this study has shown their eﬀectiveness in detailing all of these characteristics  the ability to detail location  distribution  as well as spectral and structural characteristics at the centimetre level from a single uas ﬂight plan demonstrates the eﬀectiveness of dap technology for providing enhanced forest inventory information in an eﬃcient and costeﬀective manner  dvořák et al  2015,Drone-assisted studies
